,Company Name,Job Title,Job Description,Salary Estimate,Location,Revenue,min_salary,max_salary,python,sql,Machine Learning,TensorFlow,job_simpl,seniority,desc_len,avg_salary
40,KayaDev AI,Junior Data Scientist / Data Analyst (Remote),"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,data scientist,junior,1279,360.0
41,Happy- A Digital Lending Fintech,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Mumbai,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
42,SHL,Data Scientist Consultant,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Mumbai,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
43,Canum Infotech,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
44,United Airlines,Analyst - Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Gurgaon,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
45,Hire Digital,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Remote,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
46,Ericsson,Data Scientist (Technical),"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
47,Careator Technologies,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
48,Honeywell,Data Scientist II,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
49,Aera Technology,Machine Learning Engineer - Intern,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Pune,$10+ billion (USD),180,360,0,0,0,0,mle,NaN,1279,360.0
50,LiveVectors Solutions Pvt Ltd,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Pune,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
51,WinZO,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),New Delhi,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
52,Siemens,Data Scientist – Smart Building Analytics,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Pune,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
53,Vijaya Management Services,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Pune,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
54,Miurac,Data Analytics part time job/internship at Bangalore,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,NaN,NaN,1279,360.0
55,Cisco Systems,Data Scientist - (Intern) - India /SCO UHR,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
56,Arthashastra Intelligence,Data Scientist Intern,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Hyderābād,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
57,Maersk,Senior Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Pune,$10+ billion (USD),180,360,0,0,0,0,data scientist,senior,1279,360.0
58,Apptio,Data Scientist - Sales,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Bangalore,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
59,Digbi Health,Data Scientist,"Senior Data Scientist
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation – everything out of one hand!
Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our Digitalization Technology and Services (DTS) team based in Bangalore and enjoy the freedom to think in completely new categories!
Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",₹180K - ₹360K (Employer est.),Remote,$10+ billion (USD),180,360,0,0,0,0,data scientist,NaN,1279,360.0
60,Ladderlogiq,Machine Learning Engineer,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Mumbai,,500,1000,1,0,1,1,mle,NaN,432,1000.0
61,OXO Solutions,Deep Learning Intern,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),India,,500,1000,1,0,1,1,NaN,NaN,432,1000.0
62,IceCream Labs,Machine Learning Engineer - Interns,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,mle,NaN,432,1000.0
63,Technology Next,Python & Machine Learning,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,mle,NaN,432,1000.0
64,GO-JEK,Decision Scientist - GoFood,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,NaN,NaN,432,1000.0
65,GITTY Apps Pvt. Ltd,"Cybersecurity, AI and Machine Learning Engineers","Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Hyderābād,,500,1000,1,0,1,1,mle,NaN,432,1000.0
66,ThoughtFocus,Engineer - AI,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,NaN,NaN,432,1000.0
67,Harmony Data Integration Technologies,Jr. Data Science Professional,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),India,,500,1000,1,0,1,1,NaN,junior,432,1000.0
68,Wolters Kluwer,Data Scientist,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),India,,500,1000,1,0,1,1,data scientist,NaN,432,1000.0
69,Philips,Research Engineer I -Data Science,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,NaN,NaN,432,1000.0
70,e-Innosec Consulting,Python Machine Learning,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Pune,,500,1000,1,0,1,1,mle,NaN,432,1000.0
71,DarioHealth,Jr. AI/ML Engineer,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),New Delhi,,500,1000,1,0,1,1,NaN,junior,432,1000.0
72,Siemens Technology and Services Private Limited,Data Scientist,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,data scientist,NaN,432,1000.0
73,Cumulations Technologies,Data Scientist,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,data scientist,NaN,432,1000.0
74,DeliverHealth,Data Scientist-India,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Karnataka,,500,1000,1,0,1,1,data scientist,NaN,432,1000.0
75,Flipkart,Applied Scientist,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,NaN,NaN,432,1000.0
76,Great Learning,Data Scientist,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Bangalore,,500,1000,1,0,1,1,data scientist,NaN,432,1000.0
77,GD Research Center,Data Scientist,"Experience: 2 - 4 years
Skills Required:
Machine Learning (ML), Deep Learning, Python, TensorFlow, PyTorch, Keras, Natural Language Processing (NLP), KafKa, Caffe
Responsibilities:
1. Hands-on experience with statistical, machine-learning tools and techniques, should be strong in data structures and algorithms
3. Develop Machine Learning (ML) models using various neural network architectures and implement the model using Python.",₹500K - ₹1M (Employer est.),Hyderābād,,500,1000,1,0,1,1,data scientist,NaN,432,1000.0
